raw_name,normalised_name,wb_node,dataset,country,n,lat_centroid,lon_centroid,wb_group,wb_5km,wb_raw,contrib_group,override
Santillana,santillana,santillana,Ruiz-VerduA_ES_UVEG-CEDEX,Spain,3,40.7189814814815,-3.8314814814814766,wb2:santillana,wb5:santillana,raw:Santillana,cg:Ruiz-VerduA_ES_UVEG-CEDEX,
"Satilla River, GA","satilla river, ga","satilla river, ga",SchallesJ_US_Creighton,United States of America (the),8,30.94876666666665,-81.74063958333335,"wb2:satilla river, ga","wb5:satilla river, ga","raw:Satilla River, GA",cg:BindingC_CA_ECCC,
Seto-Inland Sea,seto-inland sea,seto-inland sea,SiswantoE_JP_JAMSTEC,Japan,51,33.535261438235295,131.63279738431373,wb2:seto-inland sea,wb5:seto-inland sea,raw:Seto-Inland Sea,cg:SiswantoE_JP_JAMSTEC,
Shawano Lake,shawano lake,shawano lake,GrebSR_US_WDNR,United States of America (the),3,44.81097333333333,-88.51398333333333,wb2:shawano lake,wb5:shawano lake,raw:Shawano Lake,cg:BindingC_CA_ECCC,
Shirakaba,shirakaba,shirakaba,MatsushitaB_JP_Tsukuba,Japan,2,36.105472225,138.23494445,wb2:shirakaba,wb5:shirakaba,raw:Shirakaba,cg:MaR_CN_NIGLAS,
Soai Rap River,soai rap river,soai rap river,JametC_FR_ULCO-LOG,Viet Nam,6,10.59005,106.79821666666668,wb2:soai rap river,wb5:soai rap river,raw:Soai Rap River,cg:BracherA_DE_AWI,
South China Sea,south china sea,south china sea,JametC_FR_ULCO-LOG,Viet Nam,48,10.227681041666667,107.53095520833334,wb2:south china sea,wb5:south china sea,raw:South China Sea,cg:BracherA_DE_AWI,"manual merge (pipeline review of candidates): same named sea, same macro-region (1 Bornean sample)"
South China Sea (Bornean coast),south china sea (bornean coast),south china sea (bornean coast),BracherA_DE_AWI,Malaysia,1,6.01,114.78,wb2:south china sea,wb5:south china sea,raw:South China Sea (Bornean coast),cg:BracherA_DE_AWI,"manual merge (pipeline review of candidates): same named sea, same macro-region (1 Bornean sample)"
South Pacific Ocean (Peruvian coast),south pacific ocean (peruvian coast),south pacific ocean (peruvian coast),BracherA_DE_AWI,Peru,3,-12.190878222222224,-77.0837801111111,wb2:south pacific ocean (peruvian coast),wb5:south pacific ocean (peruvian coast),raw:South Pacific Ocean (Peruvian coast),cg:BracherA_DE_AWI,
"South River, MD","south river, md","south river, md",SchallesJ_US_Creighton,United States of America (the),1,38.92302,-76.50906,"wb2:south river, md","wb5:south river, md","raw:South River, MD",cg:BindingC_CA_ECCC,
Southern Ocean,southern ocean,southern ocean,SeaBASS_US_NRL-USM,Argentina,1,-53.75302,-36.62238,wb2:southern ocean,wb5:southern ocean,raw:Southern Ocean,cg:SeaBASS_US_NRL-USM,
Southern Ocean,southern ocean,southern ocean,SeaBASS_US_UConn,Argentina,1,-53.75233,-36.61823,wb2:southern ocean,wb5:southern ocean,raw:Southern Ocean,cg:SeaBASS_US_NRL-USM,
Spirit River Flowage,spirit river flowage,spirit river flowage,GrebSR_US_WDNR,United States of America (the),3,45.444673333333334,-89.77204666666667,wb2:spirit river flowage,wb5:spirit river flowage,raw:Spirit River Flowage,cg:BindingC_CA_ECCC,
"St. Andrews Sound, GA","st. andrews sound, ga","st. andrews sound, ga",SchallesJ_US_Creighton,United States of America (the),1,30.9989,-81.4183666666667,"wb2:st. andrews sound, ga","wb5:st. andrews sound, ga","raw:St. Andrews Sound, GA",cg:BindingC_CA_ECCC,
