group_a,group_b,names_a,names_b,min_km,shared_tokens
"wb2:black river, sc","wb2:winyah bay, sc","black river, sc","winyah bay, sc",12.12,
wb2:lake rotoiti,wb2:lake rotoma,lake rotoiti,lake rotoma,12.16,
"wb2:osabaw sound, ga","wb2:wassau sound, ga","osabaw sound, ga","wassau sound, ga",12.3,
wb2:lac courte oreilles,wb2:round lake,lac courte oreilles,round lake,12.31,
wb2:lake ohau,wb2:lake wairepo arm,lake ohau,lake wairepo arm,12.31,
wb2:lake chetac,wb2:long lake,lake chetac,long lake,12.35,
wb2:lake joemoisa,wb2:lake raigastvere,lake joemoisa; lake kaiu,lake raigastvere,12.36,
wb2:ankeveensche plassen,wb2:ijmeer durgerdam,ankeveensche plassen; spiegel- en blijkpolderplas,ijmeer durgerdam; markermeer de hemmelanden,12.38,
wb2:lake kegonsa,wb2:lake monona,lake kegonsa,lake monona,12.62,
wb2:shirakaba,wb2:suwa,shirakaba,suwa,12.62,
"wb2:cumberland sound, ga","wb2:satilla river, ga","cumberland sound, ga; st. marys river, ga","satilla river, ga",12.67,
wb2:lake otepaa valgjarv,wb2:lake pangodi,lake otepaa valgjarv,lake pangodi,12.7,
wb2:lake okataina,wb2:lake rotorua,lake okataina,lake rotorua,12.8,
wb2:grevelingen,wb2:haringvliet,grevelingen,haringvliet,12.86,
wb2:lake rotokakahi,wb2:lake rotorua,lake rotokakahi; lake tikitapu,lake rotorua,12.89,
wb2:lake areare,wb2:lake hakanoa,lake areare,lake hakanoa,12.91,
wb2:lake chotkowskie,wb2:lake jelen,lake chotkowskie,lake jelen,12.91,
wb2:lake burley griffin,wb2:lake tuggeranong,lake burley griffin,lake tuggeranong,12.94,
wb2:lake nouni,wb2:lake verevi,lake nouni,lake verevi,13.01,
wb2:lake waikare,wb2:lake whangape,lake waikare,lake whangape,13.11,
wb2:terradets,wb2:tremp,terradets,tremp,13.16,
wb2:lake joemoisa,wb2:lake soitsjarv,lake joemoisa; lake kaiu,lake soitsjarv,13.23,
wb2:lake hakanoa,wb2:lake whangape,lake hakanoa,lake whangape,13.26,
"wb2:carl blackwell lake, ok","wb2:lake perry, ok","carl blackwell lake, ok","lake perry, ok",13.28,
wb2:breukeleveensche- of stille plas,wb2:naardermeer-spookgat,breukeleveensche- of stille plas; loosdrechtse plassen; loosdrechtse plassen stille plas,naardermeer-spookgat,13.3,
wb2:lake okareka,wb2:lake rotoiti,lake okareka,lake rotoiti,13.32,
wb2:atlantic ocean [North America],"wb2:pamlico sound, nc",atlantic ocean,"pamlico sound, nc",13.35,
wb2:lake rouge suurjarv,wb2:lake tamula,lake rouge suurjarv,lake tamula,13.35,
wb2:lake areare,wb2:lake waahi,lake areare,lake waahi,13.4,
wb2:lake b,wb2:lake rotoroa (hamilton),lake b; lake d (kainui),lake rotoroa (hamilton),13.45,
"wb2:neuse river, nc","wb2:pamlico sound, nc","neuse river, nc","pamlico sound, nc",13.51,
"wb2:cunningham lake, ne","wb2:missouri river, ne","cunningham lake, ne","missouri river, ne",13.65,
wb2:lake gebokie,wb2:lake jelen,lake gebokie,lake jelen,13.67,
wb2:lake okataina,wb2:lake rotoehu,lake okataina,lake rotoehu,13.72,
wb2:navalcan,wb2:rosarito,navalcan,rosarito,13.72,
wb2:naardermeer-spookgat,wb2:vinkeveenseplas jachthaven,naardermeer-spookgat,vinkeveenseplas jachthaven,13.76,
wb2:lake kooraste linajarv,wb2:lake otepaa valgjarv,lake kooraste linajarv,lake otepaa valgjarv,13.94,
"wb2:atlantic ocean, va","wb2:elizabeth river, va","atlantic ocean, va; chesapeake bay, md; patuxent river, md; rhode river, md","elizabeth river, va",13.95,
wb2:lake manapouri,wb2:te anau,lake manapouri,te anau,13.96,
wb2:hauroko,wb2:monowai,hauroko,monowai,14.0,
wb2:lake chotkowskie,wb2:lake gebokie,lake chotkowskie,lake gebokie,14.0,
wb2:lac courte oreilles,wb2:lake chippewa,lac courte oreilles,lake chippewa,14.02,
wb2:lake rouge suurjarv,wb2:lake ruusmae,lake rouge suurjarv,lake ruusmae,14.08,
wb2:lake okareka,wb2:lake okaro,lake okareka,lake okaro,14.11,
wb2:francis,wb2:sakatah,francis,sakatah,14.12,
"wb2:altamaha river, ga","wb2:st. andrews sound, ga","altamaha river, ga; altamaha sound, ga; atlantic ocean, ga; doboy sound, ga; duplin river, ga; intracoastal waterway, ga; post office creek, ga; sapelo sound, ga; south end ceek, ga; teakettle creek, ga","st. andrews sound, ga",14.17,
wb2:metonga lake,wb2:pine lake,metonga lake,pine lake,14.18,
wb2:lake rotomanuka,wb2:te koutu,lake rotomanuka; serpentine,te koutu,14.19,
wb2:lake hakanoa,wb2:lake waikare,lake hakanoa,lake waikare,14.27,
wb2:lake kuremaa,wb2:lake raigastvere,lake kuremaa,lake raigastvere,14.31,
"wb2:atlantic ocean, va","wb2:baltimore harbor, md","atlantic ocean, va; chesapeake bay, md; patuxent river, md; rhode river, md","baltimore harbor, md",14.35,
wb2:lake boruja maa,wb2:lake jelen,lake boruja maa,lake jelen,14.37,
wb2:lake rotoroa (hamilton),wb2:lake ruatuna,lake rotoroa (hamilton),lake ruatuna,14.41,
wb2:fence lake,wb2:trout lake,fence lake,trout lake,14.42,
"wb2:canoochee river, ga","wb2:wassau sound, ga","canoochee river, ga; ogeechee river, ga","wassau sound, ga",14.46,
wb2:lake gebokie,wb2:lake rybiec,lake gebokie,lake rybiec,14.48,
wb2:lake kooraste linajarv,wb2:lake puhajarv,lake kooraste linajarv,lake puhajarv,14.52,
wb2:lake maratoto,wb2:te koutu,lake maratoto,te koutu,14.53,
wb2:cannon,wb2:sakatah,cannon,sakatah,14.57,
wb2:lake kahuparere,wb2:lake rototuna,lake kahuparere; lake kanono; lake rotokawau,lake rototuna,14.57,
wb2:lake b,wb2:lake hakanoa,lake b; lake d (kainui),lake hakanoa,14.58,
wb2:lake rotomanuka,wb2:lake rotoroa (hamilton),lake rotomanuka; serpentine,lake rotoroa (hamilton),14.66,
wb2:lake chotkowskie,wb2:lake czarne,lake chotkowskie,lake czarne,14.84,
