label,target,order,eval_set,k,score,variant,alpha,n_seeds,mean_cov,sd_cov,mean_n_wb,inf_rate
exploratory,Chla,random,per_k,2,scp,local,0.1,20,1.0,0.0,17.7,1.0
exploratory,Chla,random,per_k,5,cqr,augment,0.1,20,0.9176600416618299,0.037336268046164564,14.1,0.0
exploratory,Chla,random,per_k,5,cqr,global,0.1,20,0.9042109412375069,0.04350169808126554,14.1,0.0
exploratory,Chla,random,per_k,5,cqr,hybrid,0.1,20,0.9176600416618299,0.037336268046164564,14.1,0.0
exploratory,Chla,random,per_k,5,cqr,local,0.1,20,1.0,0.0,14.1,1.0
exploratory,Chla,random,per_k,5,scp,augment,0.1,20,0.9078334997365545,0.038043087077627435,14.1,0.0
exploratory,Chla,random,per_k,5,scp,global,0.1,20,0.890550056807862,0.05302848251312875,14.1,0.0
exploratory,Chla,random,per_k,5,scp,hybrid,0.1,20,0.9078334997365545,0.038043087077627435,14.1,0.0
exploratory,Chla,random,per_k,5,scp,local,0.1,20,1.0,0.0,14.1,1.0
exploratory,Chla,random,per_k,10,cqr,augment,0.1,20,0.9035108097696378,0.0372537121411068,11.75,0.0
exploratory,Chla,random,per_k,10,cqr,global,0.1,20,0.8941071626979207,0.049402922947274955,11.75,0.0
exploratory,Chla,random,per_k,10,cqr,hybrid,0.1,20,0.8986443205563338,0.031338847058785646,11.75,0.0
exploratory,Chla,random,per_k,10,cqr,local,0.1,20,0.8986443205563338,0.031338847058785646,11.75,0.0
exploratory,Chla,random,per_k,10,scp,augment,0.1,20,0.9002053798247003,0.04546547683381438,11.75,0.0
exploratory,Chla,random,per_k,10,scp,global,0.1,20,0.887997057045588,0.05594661826854247,11.75,0.0
exploratory,Chla,random,per_k,10,scp,hybrid,0.1,20,0.9065086618370705,0.02771094816984084,11.75,0.0
exploratory,Chla,random,per_k,10,scp,local,0.1,20,0.9065086618370705,0.02771094816984084,11.75,0.0
exploratory,Chla,random,per_k,20,cqr,augment,0.1,20,0.9146085618813663,0.045493965378995666,7.55,0.0
