key,value,rounding,source_file,filter
t2.aCDOM440.random.test.wb_median,150.5,"integer (median, half up)",data/processed/splits_aCDOM440.parquet,protocol == random; role == test; median over splits of nunique wb_group
t2.aCDOM440.waterbody.n_splits,20,integer,data/processed/splits_aCDOM440.parquet,"protocol == waterbody; distinct (seed, fold, test_unit)"
t2.aCDOM440.waterbody.n_seeds,20,integer,data/processed/splits_aCDOM440.parquet,protocol == waterbody; nunique seed
t2.aCDOM440.waterbody.n_descriptive,0,integer,data/processed/splits_aCDOM440.parquet,protocol == waterbody; descriptive_only splits
t2.aCDOM440.waterbody.train.rows_median,2347.5,"integer (median, half up)",data/processed/splits_aCDOM440.parquet,protocol == waterbody; role == train; median over splits of row count
t2.aCDOM440.waterbody.train.wb_median,150.0,"integer (median, half up)",data/processed/splits_aCDOM440.parquet,protocol == waterbody; role == train; median over splits of nunique wb_group
t2.aCDOM440.waterbody.cal.rows_median,731.0,"integer (median, half up)",data/processed/splits_aCDOM440.parquet,protocol == waterbody; role == cal; median over splits of row count
t2.aCDOM440.waterbody.cal.wb_median,50.0,"integer (median, half up)",data/processed/splits_aCDOM440.parquet,protocol == waterbody; role == cal; median over splits of nunique wb_group
t2.aCDOM440.waterbody.test.rows_median,968.5,"integer (median, half up)",data/processed/splits_aCDOM440.parquet,protocol == waterbody; role == test; median over splits of row count
t2.aCDOM440.waterbody.test.wb_median,50.0,"integer (median, half up)",data/processed/splits_aCDOM440.parquet,protocol == waterbody; role == test; median over splits of nunique wb_group
t2.aCDOM440.waterbody_5km.n_splits,10,integer,data/processed/splits5km_aCDOM440.parquet,"protocol == waterbody_5km; distinct (seed, fold, test_unit)"
t2.aCDOM440.waterbody_5km.n_seeds,10,integer,data/processed/splits5km_aCDOM440.parquet,protocol == waterbody_5km; nunique seed
t2.aCDOM440.waterbody_5km.n_descriptive,0,integer,data/processed/splits5km_aCDOM440.parquet,protocol == waterbody_5km; descriptive_only splits
t2.aCDOM440.waterbody_5km.train.rows_median,2394.5,"integer (median, half up)",data/processed/splits5km_aCDOM440.parquet,protocol == waterbody_5km; role == train; median over splits of row count
t2.aCDOM440.waterbody_5km.train.wb_median,130.0,"integer (median, half up)",data/processed/splits5km_aCDOM440.parquet,protocol == waterbody_5km; role == train; median over splits of nunique wb_5km
t2.aCDOM440.waterbody_5km.cal.rows_median,835.5,"integer (median, half up)",data/processed/splits5km_aCDOM440.parquet,protocol == waterbody_5km; role == cal; median over splits of row count
t2.aCDOM440.waterbody_5km.cal.wb_median,44.0,"integer (median, half up)",data/processed/splits5km_aCDOM440.parquet,protocol == waterbody_5km; role == cal; median over splits of nunique wb_5km
t2.aCDOM440.waterbody_5km.test.rows_median,842.5,"integer (median, half up)",data/processed/splits5km_aCDOM440.parquet,protocol == waterbody_5km; role == test; median over splits of row count
t2.aCDOM440.waterbody_5km.test.wb_median,44.0,"integer (median, half up)",data/processed/splits5km_aCDOM440.parquet,protocol == waterbody_5km; role == test; median over splits of nunique wb_5km
